query,value,Product_Link
purple brand jeans,2250,https://www.flipkart.com/clothing-and-accessories/bottomwear/jeans/purple~color/pr?sid=clo%2Cvua%2Ck58
bella canvas shirts,1150,https://www.flipkart.com/sys-bella-men-solid-casual-green-shirt/p/itme8ca8f7159aae
versace jeans couture,1050,https://www.flipkart.com/versace-jeans-couture-eau-de-toilette-75-ml/p/itmf3wgqtcxezhz9
pretty little thing,500,https://www.flipkart.com/pretty-little-thing/p/itmfbymv359fwehj
wide leg jeans,500,https://www.flipkart.com/q/wide-leg-jeans
bewakoof t shirts,500,https://www.flipkart.com/clothing-and-accessories/topwear/tshirts/bewakoof~brand/pr?sid=clo%2Cash%2Cank
bewakoof,450,https://www.flipkart.com/clothing-and-accessories/bewakoof~brand/pr?sid=clo
oversized t shirts,400,https://www.flipkart.com/q/oversized-t-shirt-men
white work shirts,400,"https://www.flipkart.com/men/shirts/white~color/pr?sid=2oq,s9b,mg4"
jiffy shirts,350,https://www.flipkart.com/jiffy-enterprise-wooden-pack-6-hangers/p/itm6104b26ea6676
gender reveal shirts,350,https://www.flipkart.com/zyozi-gender-reveal-party-baby-shower-decorations-pink-blue-banner-t-shirt-shape/p/itm7e8cf68aae896
printed shirts for men,350,https://www.flipkart.com/mens-shirts/printed~pattern/pr?sid=clo%2Cash%2Caxc%2Cmmk
bell bottom jeans,300,https://www.flipkart.com/q/bell-bottom-jeans
mom jeans,300,https://www.flipkart.com/q/mom-jeans
fashion nova,300,https://www.flipkart.com/jj-fashion-nova-hair-dryer-1000-w/p/itm83ab49a721fd8
sublimation shirts,300,https://www.flipkart.com/printcity-sublimation-self-design-men-round-neck-black-t-shirt/p/itm305b5b36e9476
dsquared2 jeans,200,https://www.flipkart.com/dsquared2-aviator-sunglasses/p/itmf3yhhfmtrbjw5
pro club shirts,180,https://www.flipkart.com/pro-club-printed-men-round-neck-grey-t-shirt/p/itmf98szsbnxjxck
t shirts damen,160,https://www.flipkart.com/womens-tshirts/pr?sid=clo%2Cash%2Cank%2Cloi
champion,150,https://www.flipkart.com/clothing-and-accessories/champion~brand/pr?sid=clo&page=2
champion shirts,150,https://www.flipkart.com/q/champion-t-shirt
allen solly shirts,150,"https://www.flipkart.com/mens-clothing/shirts/allen-solly~brand/pr?sid=2oq,s9b,mg4"
sexy women shirts,140,https://www.flipkart.com/q/sexy-tops-women
golf shirts for men,120,https://www.flipkart.com/adidas-golf-solid-men-polo-neck-black-t-shirt/p/itmddh3jywgahfrv
